FIELD,DEFINITION,CODE LIST NAME,CODE LIST URL
YEAR,"Gregorian calendar year of the catches (e.g., 1996)",,
QUARTER,Fishing time period within the reporting year. 0 = Jan–Dec; 1 = Jan–Mar; 2 = Apr–Jun; 3 = Jul–Sep; 4 = Oct–Dec,,
FISHING_GROUND,IOTC legacy code for the main IOTC fishing area where the catch occurred,Main areas,https://data.iotc.org/reference/latest/domain/legacy/#mainAreas
FLEET,IOTC legacy code and label for the fishing fleets,Fleets,https://data.iotc.org/reference/latest/domain/admin/#fleets
FISHERY_TYPE,IOTC legacy code and label for the main types of fisheries,Types of Fisheries,https://data.iotc.org/reference/latest/domain/legacy/#fisheryTypes
FISHERY_GROUP,IOTC legacy code and label for the broader grouping of fisheries,Groups of Fisheries,https://data.iotc.org/reference/latest/domain/legacy/#fisheryGroups
FISHERY,IOTC legacy code and label for the fishery in which the catch was taken,Fisheries,https://data.iotc.org/reference/latest/domain/legacy/#fisheries
GEAR,IOTC legacy code and label for the type of fishing gear used,Gears,https://data.iotc.org/reference/latest/domain/legacy/#gearTypes
SPECIES_WP,IOTC Working Party primarily responsible for the species,,https://data.iotc.org/reference/latest/domain/legacy/#workingParties
SPECIES_GROUP,"Broad group of species (e.g., billfish species)",Working Parties,https://data.iotc.org/reference/latest/domain/legacy/#species
SPECIES_CATEGORY,"Category of the species or taxon within the IOTC classification (e.g., seerfish)",Categories of Species,https://data.iotc.org/reference/latest/domain/legacy/#speciesCategories
SPECIES,Species caught and retained,Species,https://data.iotc.org/reference/latest/domain/biology/#species
SPECIES_SCIENTIFIC,Scientific name of the species,Species,https://data.iotc.org/reference/latest/domain/biology/#species
SPECIES_FAMILY,Family to which the species belongs,Species,https://data.iotc.org/reference/latest/domain/biology/#species
SPECIES_ORDER,Taxonomic order of the species,Species,https://data.iotc.org/reference/latest/domain/biology/#species
IS_IOTC_SPECIES,Indicates whether the species is managed by the IOTC (TRUE / FALSE),IOTC Species,https://data.iotc.org/reference/latest/domain/biology/#IOTCspecies
IS_SPECIES_AGGREGATE,Indicates whether the taxon represents an aggregate of multiple species (TRUE / FALSE),Species,https://data.iotc.org/reference/latest/domain/biology/#species
IS_SSI,Indicates whether the species is of special interest to the IOTC (TRUE / FALSE),Species,https://data.iotc.org/reference/latest/domain/biology/#SSIspecies
IUCN_STATUS,Conservation status of the species according to the IUCN Red List,Red list categories,https://data.iotc.org/reference/latest/domain/legacy/#IUCNstatus
FATE_TYPE,IOTC legacy code and label indicating whether the fish caught were retained or discarded,Types of Fates,https://data.iotc.org/reference/latest/domain/legacy/#fateTypes
FATE,IOTC legacy code and label for the reason for retaining the catch onboard,Fates,https://data.iotc.org/reference/latest/domain/legacy/#fates
CATCH_UNIT_CODE,IOTC legacy code for the unit used to report the retained catch,Catch Units,https://data.iotc.org/reference/latest/domain/legacy/#catchUnits
CATCH,"Amount of fish caught and retained, expressed in live-weight equivalent (metric tonnes)",,
